transaction_id,amount_usd,payment_method,date
1,173.12,Bitcoin,2024-04-11
2,132.32,Credit Card,2024-04-20
3,25.34,Credit Card,2024-04-27
4,135.16,Credit Card,2024-04-2
5,292.28,Unknown,2024-04-13
6,221.95,Unknown,2024-04-23
7,382.74,Credit Card,2024-04-11
8,414.25,Bitcoin,2024-04-7
9,291.62,Credit Card,2024-04-6
10,183.24,Bitcoin,
11,379.88,Unknown,2024-04-24
12,26.61,Bitcoin,2024-04-20
13,395.69,Paypal,2024-04-17
14,437.44,Bitcoin,2024-04-17
15,220.23,Bitcoin,2024-04-12
16,363.61,Bitcoin,2024-04-4
17,-16.85,Credit Card,2024-04-11
18,52.18,Paypal,2024-04-17
19,100.07,Unknown,2024-04-18
20,142.24,Bitcoin,2024-04-21
21,420.53,Paypal,2024-04-21
22,162.14,Paypal,2024-04-10
23,107.37,Bitcoin,2024-04-19
24,303.97,Paypal,2024-04-12
25,371.39,Unknown,2024-04-6
26,372.84,Credit Card,2024-04-21
27,428.18,Paypal,2024-04-9
28,139.55,Unknown,2024-04-2
29,266.6,Bitcoin,2024-04-22
30,187.65,Paypal,2024-04-5
31,490.05,Unknown,2024-04-1
32,-11.03,Paypal,2024-04-21
33,276.24,Credit Card,2024-04-24
34,454.45,Paypal,2024-04-2
35,-10.93,Bitcoin,2024-04-16
36,454.07,Paypal,2024-04-10
37,483.88,Credit Card,2024-04-14
38,112.68,Bitcoin,2024-04-20
39,312.95,Bitcoin,2024-04-17
40,470.06,Credit Card,2024-04-15
41,273.12,Credit Card,2024-04-13
42,194.98,Bitcoin,2024-04-26
43,319.35,Paypal,2024-04-16
44,421.43,Bitcoin,2024-04-3
45,198.46,Paypal,2024-04-23
46,14.68,Bitcoin,2024-04-12
47,78.52,Bitcoin,2024-04-24
48,17.7,Paypal,2024-04-15
49,481.07,Unknown,2024-04-27
50,236.72,Bitcoin,2024-04-9
51,474.26,Credit Card,2024-04-7
52,296.96,Unknown,2024-04-19
53,472.29,Unknown,2024-04-26
54,77.62,Credit Card,2024-04-10
55,208.82,Unknown,2024-04-21
56,310.21,Credit Card,2024-04-27
57,464.07,Paypal,2024-04-15
58,55.03,Bitcoin,2024-04-3
59,403.42,Paypal,2024-04-5
60,411.78,Bitcoin,2024-04-16
61,38.28,Credit Card,2024-04-7
62,321.12,Unknown,2024-04-25
63,386.57,Credit Card,2024-04-1
64,351.58,Paypal,2024-04-13
65,123.12,Bitcoin,2024-04-12
66,296.4,Unknown,2024-04-6
67,291.74,Unknown,2024-04-22
68,480.05,Credit Card,2024-04-14
69,151.43,Credit Card,2024-04-9
70,261.31,Credit Card,2024-04-6
71,412.04,Credit Card,2024-04-24
72,417.42,Credit Card,2024-04-8
73,-9.94,Unknown,2024-04-23
74,371.58,Paypal,2024-04-12
75,303.6,Credit Card,2024-04-26
76,18.52,Credit Card,2024-04-7
77,441.84,Unknown,2024-04-20
78,422.51,Unknown,2024-04-21
79,42.89,Credit Card,2024-04-26
80,445.92,Credit Card,2024-04-13
81,358.96,Bitcoin,2024-04-21
82,471.33,Paypal,2024-04-26
83,88.07,Bitcoin,2024-04-24
84,44.98,Unknown,2024-04-7
85,258.72,Bitcoin,
86,33.97,Unknown,2024-04-15
87,174.32,Paypal,2024-04-5
88,150.6,Paypal,2024-04-21
89,100.97,Bitcoin,2024-04-17
90,496.11,Paypal,2024-04-27
91,78.11,Paypal,2024-04-9
92,339.57,Unknown,2024-04-27
93,159.36,Unknown,2024-04-27
94,287.4,Paypal,2024-04-5
95,363.42,Paypal,2024-04-16
96,28.29,Credit Card,2024-04-22
97,350.21,Paypal,2024-04-7
98,373.21,Credit Card,2024-04-4
99,390.55,Credit Card,2024-04-11
100,257.02,Credit Card,2024-04-9
101,350.7,Unknown,2024-04-15
102,336.31,Unknown,2024-04-5
103,155.6,Unknown,2024-04-1
104,318.62,Bitcoin,2024-04-14
105,468.52,Credit Card,2024-04-16
106,195.3,Credit Card,2024-04-21
107,97.9,Paypal,2024-04-1
108,-11.04,Unknown,2024-04-23
109,124.56,Credit Card,2024-04-16
110,80.73,Paypal,2024-04-26
111,432.87,Credit Card,2024-04-20
112,6.64,Paypal,2024-04-17
113,229.23,Unknown,2024-04-18
114,48.91,Bitcoin,2024-04-20
115,322.9,Unknown,2024-04-14
116,134.49,Bitcoin,2024-04-2
117,397.67,Paypal,2024-04-3
118,51.51,Credit Card,2024-04-18
119,456.26,Unknown,2024-04-27
120,104.0,Bitcoin,2024-04-7
121,123.89,Paypal,2024-04-21
122,-11.37,Unknown,2024-04-1
123,368.87,Paypal,2024-04-10
124,272.8,Unknown,2024-04-11
125,429.69,Paypal,2024-04-16
126,164.45,Bitcoin,2024-04-21
127,100.76,Credit Card,
128,139.28,Bitcoin,2024-04-6
129,289.87,Credit Card,2024-04-18
130,425.07,Credit Card,2024-04-1
131,4.38,Unknown,2024-04-15
132,186.55,Credit Card,2024-04-13
133,323.96,Paypal,2024-04-25
134,112.26,Paypal,2024-04-13
135,44.1,Credit Card,2024-04-7
136,170.71,Bitcoin,2024-04-14
137,157.21,Unknown,2024-04-12
138,265.54,Credit Card,2024-04-3
139,35.72,Credit Card,2024-04-10
140,122.23,Bitcoin,2024-04-12
141,297.39,Unknown,
142,333.32,Bitcoin,2024-04-24
143,47.56,Credit Card,2024-04-23
144,294.75,Bitcoin,2024-04-14
145,454.81,Bitcoin,2024-04-9
146,452.87,Bitcoin,2024-04-9
147,72.94,Credit Card,2024-04-11
148,418.99,Credit Card,2024-04-13
149,442.93,Bitcoin,2024-04-14
150,400.76,Unknown,2024-04-19
151,424.83,Paypal,2024-04-4
